Date,Open,Source,High,Low,Adj Close,Volume
2020-01-11,8162.190918,bitcoin,8218.359375,8029.64209,8037.537598,25521165085
2020-01-12,8033.261719,bitcoin,8200.063477,8009.059082,8192.494141,22903438381
2020-01-13,8189.771973,bitcoin,8197.788086,8079.700684,8144.194336,22482910688
2020-01-14,8140.933105,bitcoin,8879.511719,8140.933105,8827.764648,44841784107
2020-01-15,8825.34375,bitcoin,8890.117188,8657.1875,8807.010742,40102834650
2020-01-16,8812.481445,bitcoin,8846.460938,8612.095703,8723.786133,31313981931
2020-01-17,8725.209961,bitcoin,8958.12207,8677.316406,8929.038086,36372139320
2020-01-18,8927.211914,bitcoin,9012.198242,8827.332031,8942.808594,32337772627
2020-01-19,8941.445313,bitcoin,9164.362305,8620.080078,8706.245117,34217320471
2020-01-20,8704.631836,bitcoin,8745.59082,8560.473633,8657.642578,26422375678
2020-01-21,8658.991211,bitcoin,8755.706055,8544.520508,8745.894531,24097418512
2020-01-22,8744.210938,bitcoin,8792.994141,8636.74707,8680.875977,22600204051
2020-01-23,8680.650391,bitcoin,8687.74707,8333.637695,8406.515625,25770680779
2020-01-24,8405.567383,bitcoin,8514.666992,8266.84082,8445.43457,24397913026
2020-01-25,8440.119141,bitcoin,8458.453125,8296.21875,8367.847656,19647331549
2020-01-26,8364.410156,bitcoin,8602.401367,8325.498047,8596.830078,22177678796
2020-01-27,8597.308594,bitcoin,8977.726563,8597.308594,8909.819336,28647338393
2020-01-28,8912.524414,bitcoin,9358.589844,8908.447266,9358.589844,34398744403
2020-01-29,9357.470703,bitcoin,9406.431641,9269.467773,9316.629883,30682598115
2020-01-30,9316.016602,bitcoin,9553.125977,9230.897461,9508.993164,32378792851
2020-01-31,9508.313477,bitcoin,9521.706055,9230.776367,9350.529297,29432489719
2020-02-01,9346.357422,bitcoin,9439.323242,9313.239258,9392.875,25922656496
2020-02-02,9389.820313,bitcoin,9468.797852,9217.824219,9344.365234,30835736946
2020-02-03,9344.683594,bitcoin,9540.37207,9248.633789,9293.521484,30934096509
2020-02-04,9292.841797,bitcoin,9331.265625,9112.811523,9180.962891,29893183716
2020-02-05,9183.416016,bitcoin,9701.299805,9163.704102,9613.423828,35222060874
2020-02-06,9617.821289,bitcoin,9824.619141,9539.818359,9729.801758,37628823716
2020-02-07,9726.00293,bitcoin,9834.716797,9726.00293,9795.943359,34522718159
2020-02-08,9793.070313,bitcoin,9876.749023,9678.910156,9865.119141,35172043762
2020-02-09,9863.894531,bitcoin,10129.435547,9850.392578,10116.673828,35807884663
2020-02-10,10115.55957,bitcoin,10165.765625,9784.563477,9856.611328,39386548075
2020-02-11,9855.891602,bitcoin,10210.052734,9729.334961,10208.236328,37648059389
2020-02-12,10202.387695,bitcoin,10393.611328,10202.387695,10326.054688,43444303830
2020-02-13,10323.960938,bitcoin,10457.626953,10116.161133,10214.379883,49356071373
2020-02-14,10211.550781,bitcoin,10321.996094,10125.53418,10312.116211,43338264162
2020-02-15,10313.856445,bitcoin,10341.555664,9874.427734,9889.424805,43865054831
2020-02-16,9889.179688,bitcoin,10053.96875,9722.386719,9934.433594,43374780305
2020-02-17,9936.560547,bitcoin,9938.81543,9507.637695,9690.142578,45998298413
2020-02-18,9691.230469,bitcoin,10161.935547,9632.382813,10141.996094,47271023953
2020-02-19,10143.798828,bitcoin,10191.675781,9611.223633,9633.386719,46992019710
2020-02-20,9629.325195,bitcoin,9643.216797,9507.900391,9608.475586,44925260237
2020-02-21,9611.782227,bitcoin,9723.014648,9589.743164,9686.441406,40930547513
2020-02-22,9687.707031,bitcoin,9698.231445,9600.728516,9663.181641,35838025154
2020-02-23,9663.318359,bitcoin,9937.404297,9657.791016,9924.515625,41185185761
2020-02-24,9921.583008,bitcoin,9951.746094,9537.042969,9650.174805,45080496648
2020-02-25,9651.3125,bitcoin,9652.737305,9305.021484,9341.705078,42515259129
2020-02-26,9338.290039,bitcoin,9354.77832,8704.426758,8820.522461,50420050762
2020-02-27,8825.09375,bitcoin,8932.892578,8577.199219,8784.494141,45470195695
2020-02-28,8788.728516,bitcoin,8890.456055,8492.932617,8672.455078,44605450443
2020-02-29,8671.212891,bitcoin,8775.631836,8599.508789,8599.508789,35792392544
2020-03-01,8599.758789,bitcoin,8726.796875,8471.212891,8562.454102,35349164300
2020-03-02,8563.264648,bitcoin,8921.308594,8532.630859,8869.669922,42857674409
2020-03-03,8865.387695,bitcoin,8901.598633,8704.990234,8787.786133,42386715821
2020-03-04,8788.541992,bitcoin,8843.366211,8712.431641,8755.246094,34746706368
2020-03-05,8760.285156,bitcoin,9142.054688,8757.253906,9078.762695,39698054597
2020-03-06,9078.308594,bitcoin,9167.695313,9032.079102,9122.545898,40826885651
